Hautes Ecoles (2017),15-24 y.o. (2017),1932
Hautes Ecoles (2017),25-44 y.o. (2017),25353
Hautes Ecoles (2017),45-64 y.o. (2017),8879
Hautes Ecoles (2017),more than 64 y.o. (2017),2671
Professionnelle Supérieure (2017),15-24 y.o. (2017),387
Professionnelle Supérieure (2017),25-44 y.o. (2017),3846
Professionnelle Supérieure (2017),45-64 y.o. (2017),3465
Professionnelle Supérieure (2017),more than 64 y.o. (2017),2137
Formation Générale (2017),15-24 y.o. (2017),3490
Formation Générale (2017),25-44 y.o. (2017),4539
Formation Générale (2017),45-64 y.o. (2017),3077
Formation Générale (2017),more than 64 y.o. (2017),1912
Formation Professionnelle (2017),15-24 y.o. (2017),1869
Formation Professionnelle (2017),25-44 y.o. (2017),7062
Formation Professionnelle (2017),45-64 y.o. (2017),6522
Formation Professionnelle (2017),more than 64 y.o. (2017),5400
Sans formation postobligatoire (2017),under 15 (2017),20249
Sans formation postobligatoire (2017),15-24 y.o. (2017),7410
Sans formation postobligatoire (2017),25-44 y.o. (2017),8354
Sans formation postobligatoire (2017),45-64 y.o. (2017),9726
Sans formation postobligatoire (2017),more than 64 y.o. (2017),7239
Unknown (2017),15-24 y.o. (2017),3531
Unknown (2017),25-44 y.o. (2017),3320
Unknown (2017),45-64 y.o. (2017),1034
Unknown (2017),more than 64 y.o. (2017),1385
under 15 (2017),Overall Population (2017),20249
15-24 y.o. (2017),Overall Population (2017),18618
25-44 y.o. (2017),Overall Population (2017),52475
45-64 y.o. (2017),Overall Population (2017),32703
more than 64 y.o. (2017),Overall Population (2017),20745
Overall Population (2017),Total Waste (2017),69634
Total Waste (2017),Incinerable (2017),35054
Total Waste (2017),Paper (2017),15202
Total Waste (2017),Glass (2017),7590
Total Waste (2017),Iron (2017),2264
Total Waste (2017),Vegetabe (2017),9523



const sankeyData = {
    "2017": [
        ["Hautes Ecoles", "15-24 y.o.", 1932],
        ["Hautes Ecoles", "25-44 y.o.", 25353],
        ["Hautes Ecoles", "45-64 y.o.", 8879],
        ["Hautes Ecoles", "more than 64 y.o.", 2671],
        ["Professionnelle Supérieure", "15-24 y.o.", 387],
        ["Professionnelle Supérieure", "25-44 y.o.", 3846],
        ["Professionnelle Supérieure", "45-64 y.o.", 3465],
        ["Professionnelle Supérieure", "more than 64 y.o.", 2137],
        ["Formation Générale", "15-24 y.o.", 3490],
        ["Formation Générale", "25-44 y.o.", 4539],
        ["Formation Générale", "45-64 y.o.", 3077],
        ["Formation Générale", "more than 64 y.o.", 1912],
        ["Formation Professionnelle", "15-24 y.o.", 1869],
        ["Formation Professionnelle", "25-44 y.o.", 7062],
        ["Formation Professionnelle", "45-64 y.o.", 6522],
        ["Formation Professionnelle", "more than 64 y.o.", 5400],
        ["Sans formation postobligatoire", "under 15", 20249],
        ["Sans formation postobligatoire", "15-24 y.o.", 7410],
        ["Sans formation postobligatoire", "25-44 y.o.", 8354],
        ["Sans formation postobligatoire", "45-64 y.o.", 9726],
        ["Sans formation postobligatoire", "more than 64 y.o.", 7239],
        ["Unknown", "15-24 y.o.", 3531],
        ["Unknown", "25-44 y.o.", 3320],
        ["Unknown", "45-64 y.o.", 1034],
        ["Unknown", "more than 64 y.o.", 1385],
        ["under 15", "Overall Population", 20249],
        ["15-24 y.o.", "Overall Population", 18618],
        ["25-44 y.o.", "Overall Population", 52475],
        ["45-64 y.o.", "Overall Population", 32703],
        ["more than 64 y.o.", "Overall Population", 20745],
        ["Overall Population", "Total Waste", 69634],
        ["Total Waste", "Incinerable", 35054],
        ["Total Waste", "Paper", 15202],
        ["Total Waste", "Glass", 7590],
        ["Total Waste", "Iron", 2264],
        ["Total Waste", "Vegetabe", 9523]
    ],
    "2018": [
        ["Hautes Ecoles", "15-24 y.o.", 2029],
        ["Hautes Ecoles", "25-44 y.o.", 26508],
        ["Hautes Ecoles", "45-64 y.o.", 9268],
        ["Hautes Ecoles", "more than 64 y.o.", 2807],
        ["Professionnelle Supérieure", "15-24 y.o.", 180],
        ["Professionnelle Supérieure", "25-44 y.o.", 3681],
        ["Professionnelle Supérieure", "45-64 y.o.", 3069],
        ["Professionnelle Supérieure", "more than 64 y.o.", 1891],
        ["Formation Générale", "15-24 y.o.", 4438],
        ["Formation Générale", "25-44 y.o.", 4491],
        ["Formation Générale", "45-64 y.o.", 3090],
        ["Formation Générale", "more than 64 y.o.", 1769],
        ["Formation Professionnelle", "15-24 y.o.", 1946],
        ["Formation Professionnelle", "25-44 y.o.", 6580],
        ["Formation Professionnelle", "45-64 y.o.", 7059],
        ["Formation Professionnelle", "more than 64 y.o.", 5898],
        ["Sans formation postobligatoire", "under 15", 20458],
        ["Sans formation postobligatoire", "15-24 y.o.", 6457],
        ["Sans formation postobligatoire", "25-44 y.o.", 7913],
        ["Sans formation postobligatoire", "45-64 y.o.", 9463],
        ["Sans formation postobligatoire", "more than 64 y.o.", 6973],
        ["Unknown", "15-24 y.o.", 3825],
        ["Unknown", "25-44 y.o.", 3297],
        ["Unknown", "45-64 y.o.", 1034],
        ["Unknown", "more than 64 y.o.", 1363],
        ["under 15", "Overall Population", 20458],
        ["15-24 y.o.", "Overall Population", 18875],
        ["25-44 y.o.", "Overall Population", 52470],
        ["45-64 y.o.", "Overall Population", 32984],
        ["more than 64 y.o.", "Overall Population", 20701],
        ["Overall Population", "Total Waste", 69142],
        ["Total Waste", "Incinerable", 34740],
        ["Total Waste", "Paper", 14799],
